18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.926 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.927 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.928 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.929 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.929 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.929 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.930 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
